timestamp,speed_input,speed_output,filesize_input,filesize_output
486,223.9 rd,222.2 wr,"in(0.0, 430.5)",out(427.3)
487,118.9 rd,117.4 wr,"in(64.8, 310.7)",out(370.7)
488,134.1 rd,132.8 wr,"in(64.8, 408.7)",out(469.0)
489,140.0 rd,138.9 wr,"in(64.8, 447.2)",out(508.0)
493,267.6 rd,266.1 wr,"in(534.9, 194.0)",out(724.8)
496,297.6 rd,293.9 wr,"in(64.8, 259.0)",out(319.9)
498,291.6 rd,288.1 wr,"in(64.7, 259.0)",out(319.9)
500,286.0 rd,282.3 wr,"in(64.7, 259.1)",out(319.7)
502,286.2 rd,282.5 wr,"in(64.7, 254.9)",out(315.5)
504,112.8 rd,109.4 wr,"in(64.8, 62.4)",out(123.3)
506,176.0 rd,173.9 wr,"in(64.7, 300.4)",out(360.8)
507,206.5 rd,205.0 wr,"in(0.0, 430.5)",out(427.3)
508,99.8 rd,96.9 wr,"in(64.8, 64.8)",out(125.7)
509,99.8 rd,96.3 wr,"in(64.8, 64.8)",out(125.0)
510,99.8 rd,96.9 wr,"in(64.8, 64.8)",out(125.8)
512,101.6 rd,100.4 wr,"in(64.7, 303.8)",out(364.2)
513,103.4 rd,102.5 wr,"in(54.0, 333.2)",out(383.7)
514,122.0 rd,120.9 wr,"in(64.8, 445.1)",out(505.3)
517,282.0 rd,280.1 wr,"in(588.7, 217.6)",out(800.8)
520,273.7 rd,269.5 wr,"in(58.5, 194.3)",out(248.9)
522,271.9 rd,267.5 wr,"in(64.7, 241.2)",out(301.0)
524,281.5 rd,278.3 wr,"in(64.8, 255.1)",out(316.3)
526,277.9 rd,274.2 wr,"in(64.7, 259.0)",out(319.4)
528,272.9 rd,269.5 wr,"in(64.8, 300.7)",out(360.9)
530,77.4 rd,74.7 wr,"in(64.8, 64.8)",out(125.0)
532,158.4 rd,157.2 wr,"in(0.0, 430.5)",out(427.3)
533,68.0 rd,65.4 wr,"in(64.8, 120.6)",out(178.2)
534,66.9 rd,65.1 wr,"in(64.8, 117.5)",out(177.4)
535,97.4 rd,95.8 wr,"in(64.7, 296.1)",out(354.6)
536,96.9 rd,95.8 wr,"in(64.8, 364.2)",out(423.9)
537,100.2 rd,99.0 wr,"in(64.8, 378.6)",out(438.3)
538,120.2 rd,119.2 wr,"in(64.8, 518.2)",out(578.0)
542,261.6 rd,259.8 wr,"in(588.7, 224.2)",out(807.3)
546,272.9 rd,269.5 wr,"in(63.3, 189.4)",out(249.5)
548,293.4 rd,290.3 wr,"in(64.8, 194.3)",out(256.4)
550,279.4 rd,275.7 wr,"in(64.8, 231.3)",out(292.1)
551,289.9 rd,285.5 wr,"in(44.8, 160.3)",out(202.0)
553,278.7 rd,274.1 wr,"in(64.8, 259.1)",out(318.5)
555,119.8 rd,114.8 wr,"in(64.8, 64.8)",out(124.2)
557,49.3 rd,47.7 wr,"in(64.8, 64.8)",out(125.5)
558,49.1 rd,47.0 wr,"in(64.8, 64.8)",out(123.8)
559,49.1 rd,47.0 wr,"in(64.8, 64.8)",out(123.8)
560,163.2 rd,162.0 wr,"in(0.0, 430.5)",out(427.3)
561,98.2 rd,97.0 wr,"in(64.8, 301.0)",out(361.3)
562,58.4 rd,56.4 wr,"in(64.7, 122.6)",out(180.8)
563,86.4 rd,85.3 wr,"in(64.8, 319.4)",out(379.3)
564,95.5 rd,94.5 wr,"in(64.8, 388.5)",out(448.5)
565,117.7 rd,116.7 wr,"in(64.8, 575.4)",out(634.5)
570,265.1 rd,263.0 wr,"in(642.5, 245.7)",out(881.1)
574,286.6 rd,283.4 wr,"in(64.8, 64.7)",out(128.1)
575,278.2 rd,273.6 wr,"in(64.8, 224.8)",out(284.8)
577,271.5 rd,267.7 wr,"in(64.8, 259.1)",out(319.4)
579,280.7 rd,276.4 wr,"in(64.8, 277.4)",out(337.0)
581,278.5 rd,274.8 wr,"in(64.8, 307.4)",out(367.4)
583,220.2 rd,218.6 wr,"in(0.0, 430.4)",out(427.3)
585,66.3 rd,63.4 wr,"in(64.8, 64.8)",out(124.0)
586,41.5 rd,40.0 wr,"in(64.8, 64.8)",out(125.0)
587,41.5 rd,40.2 wr,"in(64.8, 64.8)",out(125.7)
588,41.5 rd,39.4 wr,"in(64.8, 64.8)",out(122.9)
589,53.7 rd,51.9 wr,"in(64.8, 112.7)",out(171.6)
590,53.4 rd,52.9 wr,"in(31.5, 184.8)",out(214.0)
591,77.7 rd,76.5 wr,"in(64.8, 292.4)",out(351.6)
592,53.6 rd,52.9 wr,"in(30.3, 189.8)",out(217.4)
593,68.9 rd,68.1 wr,"in(42.0, 292.1)",out(330.0)
594,86.9 rd,85.6 wr,"in(64.8, 375.4)",out(433.6)
595,92.6 rd,91.6 wr,"in(64.8, 448.0)",out(507.3)
600,192.0 rd,190.5 wr,"in(642.5, 259.0)",out(894.3)
604,48.7 rd,46.0 wr,"in(64.8, 64.8)",out(122.4)
