microseconds_start,duration,job_id,RdMBPS,WtMBPS,Input File Size (Input Level),Input File Size (Output Level),Output File Size (MB),output_level
387424250,2284271,769,125.0,124.1,0.0,430.5,427.3,3
387414150,2284227,770,71.1,70.5,41.8,230.1,269.6,3
390577927,5507627,771,87.4,86.3,64.8,379.1,438.2,2
388675965,2763618,772,91.8,90.7,64.8,406.8,466.0,3
388693575,3563632,773,96.9,96.0,64.8,444.1,504.0,3
394162278,3296582,777,265.8,264.0,588.7,247.0,829.9,1
395428282,1216017,781,276.5,272.0,64.8,255.9,315.4,2
396711606,1238223,783,274.2,269.8,64.8,259.0,318.6,2
397969213,1203221,785,282.2,277.8,64.8,259.0,318.8,2
399401310,1394380,787,277.6,273.3,64.8,304.3,363.5,2
403059069,3586910,789,65.1,61.5,49.7,55.0,98.8,2
403059114,2523766,791,56.3,53.2,64.8,64.8,122.3,0
405707344,4954825,792,178.8,177.5,0.0,430.5,427.3,2
405722645,5204324,793,112.1,110.6,64.8,318.6,378.3,2
404916638,4175452,794,91.6,90.3,55.2,309.7,359.6,2
405763573,5258929,795,88.5,87.7,64.8,353.4,414.5,2
403036645,2411005,796,86.3,85.3,64.8,363.4,423.2,3
403029159,1686345,797,93.4,92.1,64.8,403.4,462.1,3
406304244,5797158,798,107.7,106.6,64.8,530.7,589.6,2
409978194,3427254,803,255.2,253.3,642.5,191.6,827.8,1
413155532,3286740,807,46.5,45.2,19.7,35.7,53.9,3
413147920,3277107,808,71.5,68.3,64.8,109.9,166.8,3
412424923,2560605,809,55.3,53.3,64.8,108.0,166.6,3
413155631,3286429,810,52.9,50.2,64.8,101.0,157.2,3
413155437,3276782,811,63.6,60.5,73.5,125.0,189.1,3
411138249,1251853,812,60.6,57.3,64.8,125.0,179.6,3
413155499,3286344,813,60.7,58.0,64.8,125.4,181.7,3
413155701,3285944,814,58.0,54.8,64.8,116.5,171.2,3
413155582,3275944,815,59.7,57.4,64.8,122.4,180.0,3
413155653,3285411,816,56.2,54.1,64.8,111.4,169.6,3
413155722,3286070,817,60.0,57.1,64.8,123.3,178.9,3
414401372,1038500,820,261.6,257.1,64.8,194.3,254.6,2
415591849,1156803,822,284.2,280.1,64.8,248.8,309.0,2
416770259,1140363,824,284.1,280.0,64.8,244.2,304.5,2
418815464,1923990,826,128.5,126.8,45.9,189.8,232.6,2
421988074,4623378,828,160.9,159.8,0.0,430.4,427.3,2
420611042,2804509,829,88.1,87.1,64.8,323.8,384.2,0
422425705,5066209,830,107.9,106.7,64.8,424.4,483.5,2
422567105,5185735,831,93.8,92.8,64.8,388.6,448.5,2
422574660,5201965,832,96.9,96.0,64.8,414.5,475.0,2
422108308,4751427,833,98.4,97.0,64.8,423.2,481.3,2
426111611,3304514,838,264.2,262.4,588.7,244.0,827.0,1
427226913,1041934,841,260.8,257.1,64.8,194.3,255.5,2
428307900,1046604,843,266.3,261.0,64.8,201.0,260.5,2
429548548,1205970,845,281.6,277.5,64.8,259.1,319.2,2
430812813,1225574,847,277.1,272.3,64.8,259.1,318.2,2
435153508,3151412,849,122.9,121.2,64.8,304.5,364.3,2
435184258,3147657,851,83.8,80.0,64.8,123.8,180.0,0
