,workload,iodepth,numjobs,ioengine,bs,media,MBPS,diskutil
301,randwrite,64,1,psync,16,ssd,139.0,66.23
302,write,16,16,psync,4,nvme,3772.0,15.49
303,randwrite,64,1,psync,4,nvme,1619.0,67.18
304,write,16,16,psync,4,hdd,3826.0,58.22
305,write,16,16,libaio,4,hdd,3409.0,56.04
306,write,1,16,libaio,4,hdd,3526.0,56.24
307,write,64,4,psync,4,hdd,1068.0,69.34
308,write,16,1,libaio,64,ssd,128.0,22.76
309,write,32,4,psync,16,hdd,1063.0,70.7
310,write,16,16,libaio,16,nvme,4512.0,18.22
311,randwrite,16,4,psync,4,ssd,181.0,77.95
312,randwrite,1,4,psync,16,nvme,1728.0,90.29
313,randwrite,16,1,psync,4,nvme,1638.0,67.17
314,randwrite,256,16,psync,16,hdd,68.1,33.47
315,write,16,16,libaio,64,hdd,3701.0,57.72
316,randwrite,1,4,psync,16,hdd,90.4,65.84
317,write,64,1,psync,64,ssd,103.0,18.35
318,write,32,4,libaio,4,hdd,1059.0,68.77
319,write,32,1,libaio,16,ssd,131.0,23.46
320,randwrite,16,4,psync,64,ssd,219.0,76.52
321,randwrite,1,16,psync,4,ssd,186.0,77.71
322,write,64,4,libaio,64,ssd,670.0,44.54
323,write,32,1,psync,16,ssd,118.0,23.11
324,write,1,1,psync,16,ssd,105.0,19.63
325,write,16,4,libaio,64,hdd,1061.0,69.96
326,randwrite,64,4,psync,16,hdd,72.8,40.66
327,write,1,16,libaio,64,ssd,1549.0,18.96
328,write,16,1,psync,4,nvme,1712.0,72.67
329,randwrite,64,4,libaio,4,hdd,75.2,50.29
330,write,64,16,libaio,4,hdd,3322.0,56.11
331,randwrite,1,16,psync,64,ssd,198.0,68.52
332,write,64,16,psync,4,nvme,3764.0,13.6
333,write,256,1,psync,4,ssd,126.0,21.68
334,randwrite,32,1,psync,4,ssd,128.0,63.21
335,randwrite,1,4,libaio,16,ssd,188.0,78.14
336,randwrite,256,16,libaio,4,nvme,1736.0,91.67
337,randwrite,1,4,libaio,4,nvme,1697.0,89.72
338,randwrite,64,1,psync,16,hdd,82.0,51.32
339,write,256,16,psync,4,hdd,3588.0,54.77
340,write,16,1,psync,64,nvme,1903.0,75.46
341,write,32,1,libaio,4,nvme,1582.0,70.32
342,randwrite,64,16,libaio,16,nvme,1839.0,93.2
343,write,16,1,psync,4,ssd,112.0,21.16
344,write,256,16,libaio,16,nvme,4080.0,16.28
345,write,16,16,psync,16,ssd,2431.0,37.67
346,write,64,16,libaio,16,nvme,4176.0,16.35
347,randwrite,1,4,libaio,4,hdd,102.0,81.9
348,randwrite,16,16,psync,64,hdd,61.9,33.87
349,write,16,1,libaio,16,nvme,1774.0,74.45
350,write,64,4,libaio,64,nvme,3904.0,51.88
351,write,64,4,psync,64,hdd,1049.0,68.88
352,write,1,16,libaio,64,hdd,3775.0,58.73
353,write,32,4,libaio,16,ssd,1066.0,68.71
354,randwrite,256,1,psync,64,hdd,91.6,40.83
355,write,32,4,libaio,4,ssd,673.0,45.72
356,randwrite,32,16,psync,16,nvme,1836.0,93.15
357,write,64,4,psync,16,ssd,665.0,43.85
358,randwrite,1,4,libaio,64,ssd,196.0,71.26
359,randwrite,256,1,psync,16,nvme,1770.0,72.64
360,randwrite,32,1,psync,4,nvme,1617.0,67.05
361,write,32,16,psync,4,ssd,2530.0,39.67
362,randwrite,256,4,libaio,16,nvme,1775.0,89.92
363,randwrite,1,4,libaio,4,ssd,187.0,80.36
364,write,256,1,psync,64,hdd,289.0,66.74
365,write,16,16,libaio,16,ssd,2663.0,39.91
366,randwrite,16,4,libaio,4,hdd,106.0,75.48
367,randwrite,16,16,psync,16,ssd,189.0,75.23
368,write,64,4,psync,4,ssd,664.0,44.49
369,randwrite,256,4,psync,64,nvme,1772.0,89.91
370,write,32,1,libaio,64,hdd,289.0,66.55
371,randwrite,256,16,libaio,64,hdd,116.0,62.2
372,randwrite,256,4,libaio,4,hdd,77.2,50.52
373,write,64,1,libaio,64,nvme,1753.0,74.52
374,randwrite,1,4,libaio,64,hdd,102.0,54.5
375,write,32,1,psync,16,nvme,1897.0,75.24
376,write,16,16,libaio,4,ssd,2242.0,31.84
377,randwrite,256,16,libaio,16,ssd,191.0,76.51
378,randwrite,256,4,psync,64,hdd,98.2,54.81
379,write,256,4,psync,16,ssd,639.0,44.24
380,randwrite,256,16,psync,64,nvme,1829.0,93.35
381,write,256,1,libaio,64,hdd,288.0,66.55
382,write,16,16,psync,16,hdd,3711.0,56.23
383,write,64,1,psync,16,nvme,1886.0,75.34
384,randwrite,16,16,libaio,16,ssd,147.0,50.1
385,write,32,4,psync,64,nvme,4551.0,59.06
386,randwrite,256,1,libaio,64,ssd,138.0,56.74
387,write,1,4,psync,4,hdd,1096.0,68.23
388,write,32,1,psync,64,nvme,1881.0,75.18
389,write,32,16,libaio,16,hdd,3623.0,56.58
390,randwrite,256,4,libaio,64,nvme,1768.0,89.87
391,randwrite,256,1,psync,64,ssd,139.0,55.31
392,write,64,16,psync,4,hdd,3639.0,55.78
393,randwrite,16,4,psync,4,hdd,125.0,90.38
394,randwrite,64,4,libaio,4,ssd,203.0,81.08
395,randwrite,32,1,libaio,16,nvme,1735.0,71.33
396,write,256,16,libaio,16,hdd,3735.0,57.51
397,write,64,1,libaio,16,nvme,1767.0,73.12
398,randwrite,16,1,psync,4,ssd,127.0,67.16
399,randwrite,32,16,libaio,16,nvme,1798.0,92.94
400,write,16,4,libaio,16,nvme,4189.0,55.21
401,write,16,1,libaio,4,nvme,1581.0,70.68
402,randwrite,1,1,libaio,4,hdd,113.0,72.39
403,write,256,4,libaio,16,ssd,736.0,48.99
404,write,64,16,psync,16,nvme,4701.0,19.61
405,write,16,4,libaio,16,ssd,1071.0,70.11
406,randwrite,64,4,psync,64,hdd,118.0,66.36
407,randwrite,256,1,libaio,16,ssd,137.0,67.37
408,write,256,1,psync,64,nvme,1901.0,75.95
409,write,256,4,psync,16,hdd,1067.0,70.42
410,write,32,4,psync,64,hdd,1066.0,69.71
411,randwrite,256,1,libaio,4,ssd,119.0,63.79
412,write,1,1,libaio,4,nvme,1547.0,70.68
413,randwrite,1,16,libaio,16,hdd,83.9,50.15
414,write,64,1,psync,16,hdd,289.0,66.07
415,write,16,1,libaio,16,ssd,119.0,23.49
416,write,64,1,libaio,64,hdd,287.0,65.63
417,randwrite,256,1,libaio,4,hdd,120.0,74.94
418,randwrite,32,4,psync,64,hdd,88.9,46.56
419,write,64,4,psync,64,ssd,645.0,44.96
420,write,16,4,psync,16,ssd,699.0,47.8
421,randwrite,32,4,psync,64,nvme,1787.0,90.06
422,randwrite,1,1,psync,16,hdd,135.0,81.78
423,write,1,4,psync,64,hdd,1064.0,69.54
424,write,32,1,psync,16,hdd,289.0,65.89
425,randwrite,32,4,libaio,64,ssd,196.0,71.3
426,randwrite,16,4,libaio,16,ssd,223.0,82.36
427,write,256,1,libaio,16,ssd,116.0,22.64
428,randwrite,256,1,libaio,16,hdd,92.4,63.77
429,randwrite,64,1,libaio,4,hdd,128.0,79.5
430,randwrite,32,1,libaio,16,ssd,125.0,67.97
431,randwrite,16,16,libaio,64,ssd,223.0,77.09
432,randwrite,64,1,libaio,16,hdd,112.0,79.03
433,write,1,16,psync,64,hdd,3770.0,58.71
434,randwrite,1,1,libaio,16,ssd,122.0,57.08
435,randwrite,1,4,psync,64,nvme,1742.0,90.42
436,write,16,16,libaio,16,hdd,3711.0,57.9
437,randwrite,1,4,psync,4,hdd,130.0,89.11
438,write,1,1,psync,16,nvme,1889.0,75.45
439,randwrite,64,4,libaio,16,hdd,102.0,67.1
440,randwrite,256,4,psync,16,ssd,200.0,80.22
441,randwrite,256,1,psync,4,nvme,1637.0,67.42
442,randwrite,16,4,libaio,16,nvme,1786.0,90.19
443,write,256,16,psync,64,ssd,2368.0,38.74
444,write,32,4,libaio,64,hdd,1059.0,69.9
445,randwrite,64,1,libaio,64,hdd,83.9,42.76
446,randwrite,256,4,psync,16,hdd,105.0,63.98
447,write,64,4,libaio,16,hdd,1060.0,70.31
448,write,16,16,psync,64,hdd,3738.0,58.61
